"name","value"
"Qid","guest10"
"Question","Nutzt du eine App, die Informationen zu deinem Körper sammelt?"
"Quotayes","0.0"
"Outlier","1"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","0"
"track_5","0"
"track_6","1"
"track_7","0"
"track_8","1"
"track_9","0"
"track_10","1"
"track_11","0"
"track_12","0"
"track_13","0"
"track_14","1"
"track_15","1"
"track_16","0"
"track_17","1"
"track_18","0"
"track_19","1"
"track_20","1"
"track_21","1"
"track_22","0"
"track_23","0"
"track_24","0"
"track_25","1"
"track_26","0"
"track_27","0"
"track_28","0"
"track_29","0"
"track_30","1"
"track_31","1"
"track_32","0"
"track_33","1"
